"activityType" "subject" "averageOfVariable" "variableName"
"LAYING" "24" 0.0841740375981627 "tBodyGyro-mean()-Z"
"SITTING" "24" NA "tBodyGyro-mean()-Z"
"STANDING" "24" NA "tBodyGyro-mean()-Z"
"WALKING" "24" NA "tBodyGyro-mean()-Z"
"WALKING_DOWNSTAIRS" "24" NA "tBodyGyro-mean()-Z"
"WALKING_UPSTAIRS" "24" NA "tBodyGyro-mean()-Z"
"LAYING" "25" NA "tBodyGyro-mean()-Z"
"SITTING" "25" NA "tBodyGyro-mean()-Z"
"STANDING" "25" 0.0993606079900489 "tBodyGyro-mean()-Z"
"WALKING" "25" NA "tBodyGyro-mean()-Z"
"WALKING_DOWNSTAIRS" "25" NA "tBodyGyro-mean()-Z"
"WALKING_UPSTAIRS" "25" NA "tBodyGyro-mean()-Z"
"LAYING" "26" NA "tBodyGyro-mean()-Z"
"SITTING" "26" NA "tBodyGyro-mean()-Z"
"STANDING" "26" 0.0917853294044643 "tBodyGyro-mean()-Z"
"WALKING" "26" NA "tBodyGyro-mean()-Z"
"WALKING_DOWNSTAIRS" "26" NA "tBodyGyro-mean()-Z"
"WALKING_UPSTAIRS" "26" NA "tBodyGyro-mean()-Z"
"LAYING" "27" 0.116262252263758 "tBodyGyro-mean()-Z"
"SITTING" "27" NA "tBodyGyro-mean()-Z"
"STANDING" "27" 0.0809994171153846 "tBodyGyro-mean()-Z"
"WALKING" "27" NA "tBodyGyro-mean()-Z"
"WALKING_DOWNSTAIRS" "27" NA "tBodyGyro-mean()-Z"
"WALKING_UPSTAIRS" "27" NA "tBodyGyro-mean()-Z"
"LAYING" "28" 0.100840281329581 "tBodyGyro-mean()-Z"
"SITTING" "28" NA "tBodyGyro-mean()-Z"
"STANDING" "28" NA "tBodyGyro-mean()-Z"
"WALKING" "28" NA "tBodyGyro-mean()-Z"
"WALKING_DOWNSTAIRS" "28" NA "tBodyGyro-mean()-Z"
"WALKING_UPSTAIRS" "28" NA "tBodyGyro-mean()-Z"
"LAYING" "29" 0.0881626266546221 "tBodyGyro-mean()-Z"
"SITTING" "29" NA "tBodyGyro-mean()-Z"
"STANDING" "29" NA "tBodyGyro-mean()-Z"
"WALKING" "29" NA "tBodyGyro-mean()-Z"
"WALKING_DOWNSTAIRS" "29" NA "tBodyGyro-mean()-Z"
"WALKING_UPSTAIRS" "29" NA "tBodyGyro-mean()-Z"
"LAYING" "30" 0.0834544586693995 "tBodyGyro-mean()-Z"
"SITTING" "30" NA "tBodyGyro-mean()-Z"
"STANDING" "30" NA "tBodyGyro-mean()-Z"
"WALKING" "30" NA "tBodyGyro-mean()-Z"
"WALKING_DOWNSTAIRS" "30" NA "tBodyGyro-mean()-Z"
"WALKING_UPSTAIRS" "30" NA "tBodyGyro-mean()-Z"
"LAYING" "1" NA "tBodyGyro-std()-X"
"SITTING" "1" NA "tBodyGyro-std()-X"
"STANDING" "1" NA "tBodyGyro-std()-X"
"WALKING" "1" -0.686555715201729 "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "1" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "1" NA "tBodyGyro-std()-X"
"LAYING" "2" NA "tBodyGyro-std()-X"
"SITTING" "2" NA "tBodyGyro-std()-X"
"STANDING" "2" NA "tBodyGyro-std()-X"
"WALKING" "2" -0.710648927815894 "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "2" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "2" NA "tBodyGyro-std()-X"
"LAYING" "3" NA "tBodyGyro-std()-X"
"SITTING" "3" NA "tBodyGyro-std()-X"
"STANDING" "3" NA "tBodyGyro-std()-X"
"WALKING" "3" -0.699262195705865 "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "3" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "3" NA "tBodyGyro-std()-X"
"LAYING" "4" NA "tBodyGyro-std()-X"
"SITTING" "4" NA "tBodyGyro-std()-X"
"STANDING" "4" NA "tBodyGyro-std()-X"
"WALKING" "4" -0.750915960835052 "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "4" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "4" -0.623295736308943 "tBodyGyro-std()-X"
"LAYING" "5" NA "tBodyGyro-std()-X"
"SITTING" "5" NA "tBodyGyro-std()-X"
"STANDING" "5" NA "tBodyGyro-std()-X"
"WALKING" "5" -0.709955676983444 "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "5" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "5" NA "tBodyGyro-std()-X"
"LAYING" "6" NA "tBodyGyro-std()-X"
"SITTING" "6" NA "tBodyGyro-std()-X"
"STANDING" "6" NA "tBodyGyro-std()-X"
"WALKING" "6" -0.767068673052966 "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "6" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "6" -0.35344952441573 "tBodyGyro-std()-X"
"LAYING" "7" NA "tBodyGyro-std()-X"
"SITTING" "7" NA "tBodyGyro-std()-X"
"STANDING" "7" NA "tBodyGyro-std()-X"
"WALKING" "7" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "7" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "7" -0.687155474097403 "tBodyGyro-std()-X"
"LAYING" "8" NA "tBodyGyro-std()-X"
"SITTING" "8" NA "tBodyGyro-std()-X"
"STANDING" "8" NA "tBodyGyro-std()-X"
"WALKING" "8" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "8" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "8" -0.656219242281851 "tBodyGyro-std()-X"
"LAYING" "9" NA "tBodyGyro-std()-X"
"SITTING" "9" NA "tBodyGyro-std()-X"
"STANDING" "9" NA "tBodyGyro-std()-X"
"WALKING" "9" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "9" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "9" -0.676452392569444 "tBodyGyro-std()-X"
"LAYING" "10" NA "tBodyGyro-std()-X"
"SITTING" "10" NA "tBodyGyro-std()-X"
"STANDING" "10" NA "tBodyGyro-std()-X"
"WALKING" "10" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "10" -0.597873796746581 "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "10" -0.970429545833333 "tBodyGyro-std()-X"
"LAYING" "11" NA "tBodyGyro-std()-X"
"SITTING" "11" NA "tBodyGyro-std()-X"
"STANDING" "11" NA "tBodyGyro-std()-X"
"WALKING" "11" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "11" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "11" -0.739922126628797 "tBodyGyro-std()-X"
"LAYING" "12" NA "tBodyGyro-std()-X"
"SITTING" "12" -0.677307561997761 "tBodyGyro-std()-X"
"STANDING" "12" NA "tBodyGyro-std()-X"
"WALKING" "12" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "12" -0.764316840252151 "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "12" NA "tBodyGyro-std()-X"
"LAYING" "13" NA "tBodyGyro-std()-X"
"SITTING" "13" -0.715109859672783 "tBodyGyro-std()-X"
"STANDING" "13" NA "tBodyGyro-std()-X"
"WALKING" "13" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "13" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "13" NA "tBodyGyro-std()-X"
"LAYING" "14" NA "tBodyGyro-std()-X"
"SITTING" "14" NA "tBodyGyro-std()-X"
"STANDING" "14" NA "tBodyGyro-std()-X"
"WALKING" "14" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "14" -0.649305014086066 "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "14" -0.973762051772152 "tBodyGyro-std()-X"
"LAYING" "15" NA "tBodyGyro-std()-X"
"SITTING" "15" NA "tBodyGyro-std()-X"
"STANDING" "15" NA "tBodyGyro-std()-X"
"WALKING" "15" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "15" -0.696859473045732 "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "15" NA "tBodyGyro-std()-X"
"LAYING" "16" NA "tBodyGyro-std()-X"
"SITTING" "16" NA "tBodyGyro-std()-X"
"STANDING" "16" NA "tBodyGyro-std()-X"
"WALKING" "16" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "16" -0.799534450491803 "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "16" NA "tBodyGyro-std()-X"
"LAYING" "17" NA "tBodyGyro-std()-X"
"SITTING" "17" -0.7250048879375 "tBodyGyro-std()-X"
"STANDING" "17" NA "tBodyGyro-std()-X"
"WALKING" "17" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "17" -0.985719333333333 "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "17" NA "tBodyGyro-std()-X"
"LAYING" "18" NA "tBodyGyro-std()-X"
"SITTING" "18" -0.950461505666667 "tBodyGyro-std()-X"
"STANDING" "18" -0.791426443721557 "tBodyGyro-std()-X"
"WALKING" "18" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "18" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "18" NA "tBodyGyro-std()-X"
"LAYING" "19" NA "tBodyGyro-std()-X"
"SITTING" "19" -0.637789914575556 "tBodyGyro-std()-X"
"STANDING" "19" NA "tBodyGyro-std()-X"
"WALKING" "19" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "19" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "19" NA "tBodyGyro-std()-X"
"LAYING" "20" -0.652396391814103 "tBodyGyro-std()-X"
"SITTING" "20" NA "tBodyGyro-std()-X"
"STANDING" "20" -0.70994810379798 "tBodyGyro-std()-X"
"WALKING" "20" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "20" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "20" NA "tBodyGyro-std()-X"
"LAYING" "21" NA "tBodyGyro-std()-X"
"SITTING" "21" -0.79617228689951 "tBodyGyro-std()-X"
"STANDING" "21" NA "tBodyGyro-std()-X"
"WALKING" "21" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "21" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "21" NA "tBodyGyro-std()-X"
"LAYING" "22" NA "tBodyGyro-std()-X"
"SITTING" "22" -0.743170551461616 "tBodyGyro-std()-X"
"STANDING" "22" -0.619856056592683 "tBodyGyro-std()-X"
"WALKING" "22" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "22" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "22" NA "tBodyGyro-std()-X"
"LAYING" "23" NA "tBodyGyro-std()-X"
"SITTING" "23" NA "tBodyGyro-std()-X"
"STANDING" "23" -0.755738625241935 "tBodyGyro-std()-X"
"WALKING" "23" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "23" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "23" NA "tBodyGyro-std()-X"
"LAYING" "24" -0.776199049939633 "tBodyGyro-std()-X"
"SITTING" "24" NA "tBodyGyro-std()-X"
"STANDING" "24" NA "tBodyGyro-std()-X"
"WALKING" "24" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "24" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "24" NA "tBodyGyro-std()-X"
"LAYING" "25" NA "tBodyGyro-std()-X"
"SITTING" "25" NA "tBodyGyro-std()-X"
"STANDING" "25" -0.683131970775061 "tBodyGyro-std()-X"
"WALKING" "25" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "25" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "25" NA "tBodyGyro-std()-X"
"LAYING" "26" NA "tBodyGyro-std()-X"
"SITTING" "26" NA "tBodyGyro-std()-X"
"STANDING" "26" -0.766673970339286 "tBodyGyro-std()-X"
"WALKING" "26" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "26" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "26" NA "tBodyGyro-std()-X"
"LAYING" "27" -0.745669027144295 "tBodyGyro-std()-X"
"SITTING" "27" NA "tBodyGyro-std()-X"
"STANDING" "27" -0.987584196794872 "tBodyGyro-std()-X"
"WALKING" "27" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "27" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "27" NA "tBodyGyro-std()-X"
"LAYING" "28" -0.740276591873298 "tBodyGyro-std()-X"
"SITTING" "28" NA "tBodyGyro-std()-X"
"STANDING" "28" NA "tBodyGyro-std()-X"
"WALKING" "28" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "28" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "28" NA "tBodyGyro-std()-X"
"LAYING" "29" -0.73469927369157 "tBodyGyro-std()-X"
"SITTING" "29" NA "tBodyGyro-std()-X"
"STANDING" "29" NA "tBodyGyro-std()-X"
"WALKING" "29" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "29" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "29" NA "tBodyGyro-std()-X"
"LAYING" "30" -0.671005846122715 "tBodyGyro-std()-X"
"SITTING" "30" NA "tBodyGyro-std()-X"
"STANDING" "30" NA "tBodyGyro-std()-X"
"WALKING" "30" NA "tBodyGyro-std()-X"
"WALKING_DOWNSTAIRS" "30" NA "tBodyGyro-std()-X"
"WALKING_UPSTAIRS" "30" NA "tBodyGyro-std()-X"
"LAYING" "1" NA "tBodyGyro-std()-Y"
"SITTING" "1" NA "tBodyGyro-std()-Y"
"STANDING" "1" NA "tBodyGyro-std()-Y"
"WALKING" "1" -0.450979810499568 "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "1" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "1" NA "tBodyGyro-std()-Y"
"LAYING" "2" NA "tBodyGyro-std()-Y"
"SITTING" "2" NA "tBodyGyro-std()-Y"
"STANDING" "2" NA "tBodyGyro-std()-Y"
"WALKING" "2" -0.722943674337748 "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "2" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "2" NA "tBodyGyro-std()-Y"
"LAYING" "3" NA "tBodyGyro-std()-Y"
"SITTING" "3" NA "tBodyGyro-std()-Y"
"STANDING" "3" NA "tBodyGyro-std()-Y"
"WALKING" "3" -0.76302218170088 "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "3" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "3" NA "tBodyGyro-std()-Y"
"LAYING" "4" NA "tBodyGyro-std()-Y"
"SITTING" "4" NA "tBodyGyro-std()-Y"
"STANDING" "4" NA "tBodyGyro-std()-Y"
"WALKING" "4" -0.828888294742268 "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "4" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "4" -0.749889456666667 "tBodyGyro-std()-Y"
"LAYING" "5" NA "tBodyGyro-std()-Y"
"SITTING" "5" NA "tBodyGyro-std()-Y"
"STANDING" "5" NA "tBodyGyro-std()-Y"
"WALKING" "5" -0.705638306688742 "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "5" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "5" NA "tBodyGyro-std()-Y"
"LAYING" "6" NA "tBodyGyro-std()-Y"
"SITTING" "6" NA "tBodyGyro-std()-Y"
"STANDING" "6" NA "tBodyGyro-std()-Y"
"WALKING" "6" -0.761438068516949 "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "6" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "6" -0.267781342044944 "tBodyGyro-std()-Y"
"LAYING" "7" NA "tBodyGyro-std()-Y"
"SITTING" "7" NA "tBodyGyro-std()-Y"
"STANDING" "7" NA "tBodyGyro-std()-Y"
"WALKING" "7" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "7" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "7" -0.652408657909091 "tBodyGyro-std()-Y"
"LAYING" "8" NA "tBodyGyro-std()-Y"
"SITTING" "8" NA "tBodyGyro-std()-Y"
"STANDING" "8" NA "tBodyGyro-std()-Y"
"WALKING" "8" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "8" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "8" -0.570941237019217 "tBodyGyro-std()-Y"
"LAYING" "9" NA "tBodyGyro-std()-Y"
"SITTING" "9" NA "tBodyGyro-std()-Y"
"STANDING" "9" NA "tBodyGyro-std()-Y"
"WALKING" "9" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "9" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "9" -0.670498220701389 "tBodyGyro-std()-Y"
"LAYING" "10" NA "tBodyGyro-std()-Y"
"SITTING" "10" NA "tBodyGyro-std()-Y"
"STANDING" "10" NA "tBodyGyro-std()-Y"
"WALKING" "10" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "10" -0.492482432210256 "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "10" -0.976850974833333 "tBodyGyro-std()-Y"
"LAYING" "11" NA "tBodyGyro-std()-Y"
"SITTING" "11" NA "tBodyGyro-std()-Y"
"STANDING" "11" NA "tBodyGyro-std()-Y"
"WALKING" "11" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "11" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "11" -0.703501766487342 "tBodyGyro-std()-Y"
"LAYING" "12" NA "tBodyGyro-std()-Y"
"SITTING" "12" -0.680398804104478 "tBodyGyro-std()-Y"
"STANDING" "12" NA "tBodyGyro-std()-Y"
"WALKING" "12" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "12" -0.774444433548387 "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "12" NA "tBodyGyro-std()-Y"
"LAYING" "13" NA "tBodyGyro-std()-Y"
"SITTING" "13" -0.645728612088685 "tBodyGyro-std()-Y"
"STANDING" "13" NA "tBodyGyro-std()-Y"
"WALKING" "13" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "13" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "13" NA "tBodyGyro-std()-Y"
"LAYING" "14" NA "tBodyGyro-std()-Y"
"SITTING" "14" NA "tBodyGyro-std()-Y"
"STANDING" "14" NA "tBodyGyro-std()-Y"
"WALKING" "14" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "14" -0.216650778374795 "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "14" -0.962039041139241 "tBodyGyro-std()-Y"
"LAYING" "15" NA "tBodyGyro-std()-Y"
"SITTING" "15" NA "tBodyGyro-std()-Y"
"STANDING" "15" NA "tBodyGyro-std()-Y"
"WALKING" "15" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "15" -0.708779069191463 "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "15" NA "tBodyGyro-std()-Y"
"LAYING" "16" NA "tBodyGyro-std()-Y"
"SITTING" "16" NA "tBodyGyro-std()-Y"
"STANDING" "16" NA "tBodyGyro-std()-Y"
"WALKING" "16" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "16" -0.810124133715847 "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "16" NA "tBodyGyro-std()-Y"
"LAYING" "17" NA "tBodyGyro-std()-Y"
"SITTING" "17" -0.73173270325 "tBodyGyro-std()-Y"
"STANDING" "17" NA "tBodyGyro-std()-Y"
"WALKING" "17" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "17" -0.985762623125 "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "17" NA "tBodyGyro-std()-Y"
"LAYING" "18" NA "tBodyGyro-std()-Y"
"SITTING" "18" -0.977660980333333 "tBodyGyro-std()-Y"
"STANDING" "18" -0.759370761556886 "tBodyGyro-std()-Y"
"WALKING" "18" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "18" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "18" NA "tBodyGyro-std()-Y"
"LAYING" "19" NA "tBodyGyro-std()-Y"
"SITTING" "19" -0.643866300560306 "tBodyGyro-std()-Y"
"STANDING" "19" NA "tBodyGyro-std()-Y"
"WALKING" "19" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "19" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "19" NA "tBodyGyro-std()-Y"
"LAYING" "20" -0.485894484605705 "tBodyGyro-std()-Y"
"SITTING" "20" NA "tBodyGyro-std()-Y"
"STANDING" "20" -0.642839666627273 "tBodyGyro-std()-Y"
"WALKING" "20" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "20" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "20" NA "tBodyGyro-std()-Y"
"LAYING" "21" NA "tBodyGyro-std()-Y"
"SITTING" "21" -0.765057760637255 "tBodyGyro-std()-Y"
"STANDING" "21" NA "tBodyGyro-std()-Y"
"WALKING" "21" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "21" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "21" NA "tBodyGyro-std()-Y"
"LAYING" "22" NA "tBodyGyro-std()-Y"
"SITTING" "22" -0.836307422323232 "tBodyGyro-std()-Y"
"STANDING" "22" -0.699934248861789 "tBodyGyro-std()-Y"
"WALKING" "22" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "22" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "22" NA "tBodyGyro-std()-Y"
"LAYING" "23" NA "tBodyGyro-std()-Y"
"SITTING" "23" NA "tBodyGyro-std()-Y"
"STANDING" "23" -0.500338191139785 "tBodyGyro-std()-Y"
"WALKING" "23" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "23" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "23" NA "tBodyGyro-std()-Y"
"LAYING" "24" -0.763365457296588 "tBodyGyro-std()-Y"
"SITTING" "24" NA "tBodyGyro-std()-Y"
"STANDING" "24" NA "tBodyGyro-std()-Y"
"WALKING" "24" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "24" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "24" NA "tBodyGyro-std()-Y"
"LAYING" "25" NA "tBodyGyro-std()-Y"
"SITTING" "25" NA "tBodyGyro-std()-Y"
"STANDING" "25" -0.752261013276284 "tBodyGyro-std()-Y"
"WALKING" "25" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "25" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "25" NA "tBodyGyro-std()-Y"
"LAYING" "26" NA "tBodyGyro-std()-Y"
"SITTING" "26" NA "tBodyGyro-std()-Y"
"STANDING" "26" -0.800675471045918 "tBodyGyro-std()-Y"
"WALKING" "26" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "26" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "26" NA "tBodyGyro-std()-Y"
"LAYING" "27" -0.754439610369128 "tBodyGyro-std()-Y"
"SITTING" "27" NA "tBodyGyro-std()-Y"
"STANDING" "27" -0.983939928846154 "tBodyGyro-std()-Y"
"WALKING" "27" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "27" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "27" NA "tBodyGyro-std()-Y"
"LAYING" "28" -0.741285540196335 "tBodyGyro-std()-Y"
"SITTING" "28" NA "tBodyGyro-std()-Y"
"STANDING" "28" NA "tBodyGyro-std()-Y"
"WALKING" "28" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "28" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "28" NA "tBodyGyro-std()-Y"
"LAYING" "29" -0.634569173421512 "tBodyGyro-std()-Y"
"SITTING" "29" NA "tBodyGyro-std()-Y"
"STANDING" "29" NA "tBodyGyro-std()-Y"
"WALKING" "29" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "29" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "29" NA "tBodyGyro-std()-Y"
"LAYING" "30" -0.538990663942298 "tBodyGyro-std()-Y"
"SITTING" "30" NA "tBodyGyro-std()-Y"
"STANDING" "30" NA "tBodyGyro-std()-Y"
"WALKING" "30" NA "tBodyGyro-std()-Y"
"WALKING_DOWNSTAIRS" "30" NA "tBodyGyro-std()-Y"
"WALKING_UPSTAIRS" "30" NA "tBodyGyro-std()-Y"
"LAYING" "1" NA "tBodyGyro-std()-Z"
"SITTING" "1" NA "tBodyGyro-std()-Z"
"STANDING" "1" NA "tBodyGyro-std()-Z"
"WALKING" "1" -0.597496136795101 "tBodyGyro-std()-Z"
"WALKING_DOWNSTAIRS" "1" NA "tBodyGyro-std()-Z"
"WALKING_UPSTAIRS" "1" NA "tBodyGyro-std()-Z"
"LAYING" "2" NA "tBodyGyro-std()-Z"
"SITTING" "2" NA "tBodyGyro-std()-Z"
"STANDING" "2" NA "tBodyGyro-std()-Z"
"WALKING" "2" -0.634888927843046 "tBodyGyro-std()-Z"
"WALKING_DOWNSTAIRS" "2" NA "tBodyGyro-std()-Z"
"WALKING_UPSTAIRS" "2" NA "tBodyGyro-std()-Z"
"LAYING" "3" NA "tBodyGyro-std()-Z"
"SITTING" "3" NA "tBodyGyro-std()-Z"
"STANDING" "3" NA "tBodyGyro-std()-Z"
"WALKING" "3" -0.709483440322581 "tBodyGyro-std()-Z"
"WALKING_DOWNSTAIRS" "3" NA "tBodyGyro-std()-Z"
"WALKING_UPSTAIRS" "3" NA "tBodyGyro-std()-Z"
"LAYING" "4" NA "tBodyGyro-std()-Z"
"SITTING" "4" NA "tBodyGyro-std()-Z"
"STANDING" "4" NA "tBodyGyro-std()-Z"
"WALKING" "4" -0.745904225824742 "tBodyGyro-std()-Z"
"WALKING_DOWNSTAIRS" "4" NA "tBodyGyro-std()-Z"
"WALKING_UPSTAIRS" "4" -0.695570737073171 "tBodyGyro-std()-Z"
"LAYING" "5" NA "tBodyGyro-std()-Z"
"SITTING" "5" NA "tBodyGyro-std()-Z"
"STANDING" "5" NA "tBodyGyro-std()-Z"
"WALKING" "5" -0.606589817380795 "tBodyGyro-std()-Z"
"WALKING_DOWNSTAIRS" "5" NA "tBodyGyro-std()-Z"
"WALKING_UPSTAIRS" "5" NA "tBodyGyro-std()-Z"
"LAYING" "6" NA "tBodyGyro-std()-Z"
"SITTING" "6" NA "tBodyGyro-std()-Z"
"STANDING" "6" NA "tBodyGyro-std()-Z"
"WALKING" "6" -0.723490206153814 "tBodyGyro-std()-Z"
"WALKING_DOWNSTAIRS" "6" NA "tBodyGyro-std()-Z"
"WALKING_UPSTAIRS" "6" -0.272215022761798 "tBodyGyro-std()-Z"
"LAYING" "7" NA "tBodyGyro-std()-Z"
"SITTING" "7" NA "tBodyGyro-std()-Z"
"STANDING" "7" NA "tBodyGyro-std()-Z"
"WALKING" "7" NA "tBodyGyro-std()-Z"
"WALKING_DOWNSTAIRS" "7" NA "tBodyGyro-std()-Z"
